Date,Open,High,Low,Close,Volume,Market Cap
Oct-17-2020,365.818559956,369.59554345,364.255744585,368.881792554,8584714398.926545,41549095303.30958
Oct-16-2020,377.63777813,379.75661985,363.29518358,365.910710021,11967627185.512655,41792476292.8949
Oct-15-2020,379.082988183,380.361849038,371.424129121,377.346643678,11174692621.189135,42595675430.65225
Oct-14-2020,381.369972429,386.754657849,374.134479167,379.642177259,11511322207.715668,42975263463.28172
Oct-13-2020,387.015415111,387.304242932,376.262918438,381.301105511,15351943869.008823,43212049710.93997
Oct-12-2020,374.484491641,394.6500779,366.815046567,387.737987195,11027452762.148428,42830237861.439575
Oct-11-2020,370.944728015,376.997667838,369.580340685,374.894787513,9827859503.10054,42163564866.856544
Oct-10-2020,365.377999123,378.005623463,365.377999123,370.816399761,12467964683.456812,42189659370.20421
Oct-09-2020,351.294341222,368.293487308,348.242872443,365.9897107,10996941195.680214,40324893145.094986
Oct-08-2020,341.967560207,352.617497142,335.545360884,350.939676997,9820746332.50727,38816785742.84501
Oct-07-2020,340.989220524,342.421614868,334.807049042,341.50761016,11889771755.563202,38366213556.06716
Oct-06-2020,353.729931139,354.702109825,337.628505565,340.661695968,9434934522.359806,39344170733.628815
Oct-05-2020,352.552667944,354.989240882,349.527811804,353.854553219,8863022283.018194,39778145130.65974
Oct-04-2020,346.360799422,353.893554567,344.796522369,352.214924145,7696532627.991435,39342098538.08229
Oct-03-2020,345.940163672,350.911453821,344.379293583,346.309049309,10864336123.746744,39200137939.91324
Oct-02-2020,353.212845711,353.687695184,336.717391467,346.046835924,15708735701.089428,38909141646.780785
Oct-01-2020,359.820327257,368.594671524,346.405843559,352.924169416,11757675812.717,40636249573.51056
Sep-30-2020,359.837365673,360.814517382,353.083276388,359.380501348,10750901718.026724,40211921987.96927
Sep-29-2020,354.212956014,360.108716779,351.833177811,359.528061471,13604204070.49359,40129528865.10481
Sep-28-2020,357.5036342,365.987277281,354.128740002,354.753624845,12240570630.41233,40668342369.49875
Sep-27-2020,354.09870992,361.942347108,348.749211285,357.076831843,13274405428.624031,40025975230.8945
Sep-26-2020,352.047722637,355.486741709,348.158100197,354.90198596,14128977255.956898,39727397152.060585
Sep-25-2020,349.039097168,357.138141412,338.461614861,351.665338148,16489367064.393242,39120343263.04257
Sep-24-2020,320.123723654,350.960896285,318.576415496,349.01067627,17593858755.432884,37758939953.39559
Sep-23-2020,344.275706035,344.640788714,318.310542462,320.765563108,13914982251.095644,37947415442.51127
Sep-22-2020,340.764996335,346.368000673,336.489548619,344.072333127,19631714707.97354,38610568995.29117
Sep-21-2020,372.171450077,375.911925661,334.117569511,341.387142339,19397296349.037674,40228744271.89587
Sep-20-2020,385.081944287,385.081944287,367.880025656,371.930762008,15024813309.859678,42457495312.910645
Sep-19-2020,383.867759217,386.304021437,377.991596052,384.772459639,17067636602.330557,43150877663.828705
Sep-18-2020,388.912282344,390.916460434,377.097565642,382.332058793,23187725688.406048,43287510591.79259
Sep-17-2020,366.772800412,392.92227083,365.801414779,388.297506774,23907331520.7911,42972984781.46265
Sep-16-2020,365.859502259,373.619358821,358.056606535,366.745934276,20421971346.96865,41206465060.70352
Sep-15-2020,376.817582689,380.903407566,364.153928836,364.153928836,20436343769.98343,41914196734.46471
Sep-14-2020,366.099187536,382.573784928,357.140849536,376.469185953,21340863191.520466,41682754908.94669
Sep-13-2020,384.447166517,388.158162201,354.644373819,365.278917049,18956358547.76353,41970280565.37436
Sep-12-2020,372.683697387,384.206333528,365.853789834,384.206333528,17250620646.840893,41907711053.153175
Sep-11-2020,367.171066286,373.104533835,357.318274601,372.29578282,21294709859.152035,41152437967.72024
Sep-10-2020,351.790316019,374.922055285,351.790316019,366.5997324,22628775637.97213,41213478402.21826
Sep-09-2020,339.308056777,358.511500408,333.687459217,351.904314534,21737601651.668076,39029821339.54914
Sep-08-2020,354.063817633,355.076471354,330.018045148,338.912343717,24433336896.179176,38638126869.27597
Sep-07-2020,354.667133096,359.635046456,327.598067661,352.275398693,29841577729.941753,39004023776.65021
Sep-06-2020,338.209575779,360.465877372,317.208177788,355.343349978,43155697539.316925,38830870179.43039
Sep-05-2020,384.58490827,390.622362551,316.579278335,331.381124974,29781436708.83354,40649192206.85466
Sep-04-2020,380.759608724,399.092518167,369.277022383,385.844748822,31294251884.84838,43458888090.02728
Sep-03-2020,436.211917385,444.732365188,375.617027734,383.078292239,30361676281.301502,46920175569.04324
Sep-02-2020,475.930387765,477.516965726,420.902989998,436.479540574,30274356437.219303,50461826334.43701
Sep-01-2020,429.318881079,479.491871828,425.212150759,475.932746796,25596090611.992413,51532928241.2277
Aug-31-2020,424.287957798,434.930525781,416.527702996,429.800932695,18539887567.87415,47836146347.525536
Aug-30-2020,398.381200723,423.727135245,398.381200723,423.189464679,14574425303.318256,46007348759.67987
Aug-29-2020,394.010824921,404.34286427,391.726985487,399.093090287,12559044215.073914,44705738516.30759
Aug-28-2020,383.064697593,395.808977908,380.635762369,393.979330873,15522931906.76594,43849464999.48484
Aug-27-2020,385.809033018,394.22251526,376.600645895,382.841359736,14933767456.30503,43096839478.5535
Aug-26-2020,383.266694225,391.549932692,378.071816574,385.870423938,18065341230.888485,43256831192.96734
Aug-25-2020,407.724065372,408.328382212,371.769261693,383.916156352,16506629922.53795,43945355557.809456
Aug-24-2020,390.934487514,409.42060935,388.566342717,407.983250603,13579573557.56466,44979716402.094666
Aug-23-2020,395.894162205,396.520790957,384.699362767,391.440359425,12836541319.938156,43884331269.9608
Aug-22-2020,387.986044011,396.552550811,380.92627261,395.874607855,17851384658.10134,43747655157.48946
Aug-21-2020,416.068822391,418.054211038,386.279688147,387.510974517,15709687764.511187,45599879080.12148
Aug-20-2020,406.727679251,418.195273593,403.376240815,416.472303895,18247659340.960785,46163564211.83835
Aug-19-2020,422.759690373,426.246565752,396.072376347,406.046971897,18577230989.38973,46185622619.7216
Aug-18-2020,429.962040829,433.270918058,418.031296373,423.128213226,18872381370.109787,47995026120.98093
Aug-17-2020,433.3790852,441.650580165,421.556475737,430.798284303,16203065799.78892,48321849380.02878
Aug-16-2020,432.566678537,435.269070617,414.454632704,433.501322587,15249440776.954985,47999551650.75246
Aug-15-2020,437.752128184,442.43568758,428.955637588,432.844379771,19175457741.18531,48895113723.52793
Aug-14-2020,424.105097466,443.374015015,418.94676713,436.923851688,26567843615.532307,48139329064.797844
